 1 puckman           "PuckMan (Japan set 1)"
12 hotgmcki          "Mahjong Hot Gimmick Integral (Japan)"
12 loderndf          "Lode Runner - The Dig Fight (ver. B)"
12 loderndfa         "Lode Runner - The Dig Fight (ver. A)"
12 hotdebut          "Quiz de Idol! Hot Debut (Japan)"
12 marineb           "Marine Boy"
12 changes           "Changes"
12 changesa          "Changes (EME license)"
12 looper            "Looper"
12 springer          "Springer"
12 hoccer            "Hoccer (set 1)"
12 hoccer2           "Hoccer (set 2)"
12 bcruzm12          "Battle Cruiser M-12"
12 hopprobo          "Hopper Robo"
12 wanted            "Wanted"
12 funkybee          "Funky Bee"
12 funkybeeb         "Funky Bee (bootleg, harder)"
12 skylancr          "Sky Lancer"
12 skylancre         "Sky Lancer (Esco Trading Co license)"
12 zodiack           "Zodiack"
12 dogfight          "Dog Fight (Thunderbolt)"
12 moguchan          "Moguchan"
12 percuss           "The Percussor"
12 bounty            "The Bounty"
12 espial            "Espial (Europe)"
12 espialu           "Espial (US?)"
12 netwars           "Net Wars"
12 vastar            "Vastar (set 1)"
12 vastar2           "Vastar (set 2)"
12 mastboy           "Master Boy (Spanish, PCB Rev A)"
12 mastboyi          "Master Boy (Italian, PCB Rev A)"
12 xorworld          "Xor World (prototype)"
12 bigkarnk          "Big Karnak"
12 splash            "Splash! (Ver. 1.2 World)"
12 splash10          "Splash! (Ver. 1.0 World)"
12 paintlad          "Painted Lady (Splash) (Ver. 1.3 US)"
12 roldfrog          "The Return of Lady Frog (set 1)"
12 roldfroga         "The Return of Lady Frog (set 2)"
12 rebus             "Rebus"
12 funystrp          "Funny Strip"
12 puckpepl          "Puck People"
12 thoop             "Thunder Hoop (Ver. 1)"
12 squash            "Squash (Ver. 1.0)"
12 wrally            "World Rally (set 1)"
12 wrallya           "World Rally (set 2)"
12 wrallyb           "World Rally (US, 930217)"
12 glass             "Glass (Ver 1.1)"
12 glass10           "Glass (Ver 1.0)"
12 glassbrk          "Glass (Ver 1.0, Break Edition)"
12 targeth           "Target Hits (ver 1.1)"
12 targetha          "Target Hits (ver 1.0)"
12 thoop2            "TH Strikes Back"
12 aligator          "Alligator Hunt"
12 aligatorun        "Alligator Hunt (unprotected)"
12 biomtoy           "Biomechanical Toy (unprotected)"
12 touchgo           "Touch & Go (World)"
12 touchgon          "Touch & Go (Non North America)"
12 touchgoe          "Touch & Go (earlier revision)"
12 wrally2           "World Rally 2: Twin Racing"
12 maniacsp          "Maniac Square (prototype)"
12 maniacsq          "Maniac Square (unprotected)"
12 snowboar          "Snow Board Championship (Version 2.1)"
12 snowboara         "Snow Board Championship (Version 2.0)"
12 bang              "Bang!"
12 bangj             "Gun Gabacho (Japan)"
12 grtesoro          "Gran Tesoro? / Play 2000 (v5.01) (Italy)"
12 grtesoro4         "Gran Tesoro? / Play 2000 (v4.0) (Italy)"
12 speedup           "Speed Up (Version 1.20)"
12 surfplnt          "Surf Planet (Version 4.1)"
12 surfplnt40        "Surf Planet (Version 4.0)"
12 radikalb          "Radikal Bikers (Version 2.02)"
12 atvtrack          "ATV Track (set 1)"
12 atvtracka         "ATV Track (set 2)"
12 tokyocop          "Tokyo Cop (Italy)"
12 hvyunit           "Heavy Unit (World)"
12 hvyunitj          "Heavy Unit (Japan, Newer)"
12 hvyunitjo         "Heavy Unit (Japan, Older)"
12 hvyunitu          "Heavy Unit -U.S.A. Version- (US)"
12 djboy             "DJ Boy (set 1)"
12 djboyj            "DJ Boy (Japan)"
12 djboya            "DJ Boy (set 2)"
12 airbustr          "Air Buster: Trouble Specialty Raid Unit (World)"
12 airbustrj         "Air Buster: Trouble Specialty Raid Unit (Japan)"
12 airbustrb         "Air Buster: Trouble Specialty Raid Unit (bootleg)"
12 galpanic          "Gals Panic (Unprotected)"
12 galpanica         "Gals Panic (MCU Protected)"
12 galsnew           "Gals Panic (US, EXPRO-02 PCB)"
12 galsnewa          "Gals Panic (Export, EXPRO-02 PCB)"
12 galsnewj          "Gals Panic (Japan, EXPRO-02 PCB)"
12 galsnewk          "Gals Panic (Korea, EXPRO-02 PCB)"
12 galpani2          "Gals Panic II (Asia)"
12 galpani2g         "Gals Panic II (Germany)"
12 galpani2t         "Gals Panic II (Taiwan)"
12 galpani2i         "Gals Panic II (Italy)"
12 galpani2j         "Gals Panic II (Japan)"
12 gp2quiz           "Gals Panic II - Quiz Version"
12 gp2se             "Gals Panic II' - Special Edition (Japan)"
12 jchan             "Jackie Chan - The Kung-Fu Master"
12 jchan2            "Jackie Chan in Fists of Fire"
12 galpani3          "Gals Panic 3"
12 berlwall          "The Berlin Wall"
12 berlwallt         "The Berlin Wall (bootleg ?)"
12 mgcrystl          "Magical Crystals (World, 92/01/10)"
12 mgcrystlo         "Magical Crystals (World, 91/12/10)"
12 mgcrystlj         "Magical Crystals (Japan, 92/01/13)"
12 blazeon           "Blaze On (Japan)"
12 sandscrp          "Sand Scorpion"
12 sandscrpa         "Sand Scorpion (Earlier)"
12 sandscrpb         "Sand Scorpion (Chinese Title Screen, Revised Hardware)"
12 explbrkr          "Explosive Breaker"
12 bakubrkr          "Bakuretsu Breaker"
12 shogwarr          "Shogun Warriors (World)"
12 shogwarru         "Shogun Warriors (US)"
12 fjbuster          "Fujiyama Buster (Japan)"
12 brapboys          "B.Rap Boys (World)"
12 brapboysj         "B.Rap Boys Special (Japan)"
12 bloodwar          "Blood Warrior"
12 oedfight          "Oedo Fight (Japan Bloodshed Ver.)"
12 bonkadv           "B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin"
12 gtmr              "1000 Miglia: Great 1000 Miles Rally (94/07/18)"
12 gtmra             "1000 Miglia: Great 1000 Miles Rally (94/06/13)"
12 gtmre             "Great 1000 Miles Rally: Evolution Model!!! (94/09/06)"
12 gtmrusa           "Great 1000 Miles Rally: U.S.A Version! (94/09/06)"
12 gtmr2             "Mille Miglia 2: Great 1000 Miles Rally (95/05/24)"
12 gtmr2a            "Mille Miglia 2: Great 1000 Miles Rally (95/04/04)"
12 gtmr2u            "Great 1000 Miles Rally 2 USA (95/05/18)"
12 skns              "Super Kaneko Nova System BIOS"
12 galpani4          "Gals Panic 4 (Japan)"
12 galpani4k         "Gals Panic 4 (Korea)"
12 jjparads          "Jan Jan Paradise"
12 sarukani          "Saru-Kani-Hamu-Zou (Japan)"
12 vblokbrk          "VS Block Breaker (Asia)"
12 galpanis          "Gals Panic S - Extra Edition (Japan)"
12 galpanisk         "Gals Panic S - Extra Edition (Korea)"
12 sengekis          "Sengeki Striker (Asia)"
12 sengekisj         "Sengeki Striker (Japan)"
12 jjparad2          "Jan Jan Paradise 2"
12 cyvern            "Cyvern (US)"
12 cyvernj           "Cyvern (Japan)"
12 ryouran           "VS Mahjong Otome Ryouran"
12 puzzloop          "Puzz Loop (Europe)"
12 puzzloopj         "Puzz Loop (Japan)"
12 puzzloopa         "Puzz Loop (Asia)"
12 puzzloopk         "Puzz Loop (Korea)"
12 puzzloopu         "Puzz Loop (USA)"
12 galpans2          "Gals Panic S2 (Japan)"
12 galpans2a         "Gals Panic S2 (Asia)"
12 galpansu          "Gals Panic SU (Korea)"
12 senknow           "Sen-Know (Japan)"
12 panicstr          "Panic Street (Japan)"
12 teljan            "Tel Jan"
12 gutsn             "Guts'n (Japan)"
12 galpans3          "Gals Panic S3 (Japan)"
12 hanaawas          "Hana Awase"
12 speedatk          "Speed Attack! (Japan)"
12 srmp1             "Super Real Mahjong Part 1 (Japan)"
12 srmp2             "Super Real Mahjong Part 2 (Japan)"
12 srmp3             "Super Real Mahjong Part 3 (Japan)"
12 rmgoldyh          "Real Mahjong Gold Yumehai / Super Real Mahjong GOLD part.2 [BET] (Japan)"
12 mjyuugi           "Mahjong Yuugi (Japan set 1)"
12 mjyuugia          "Mahjong Yuugi (Japan set 2)"
12 ponchin           "Mahjong Pon Chin Kan (Japan set 1)"
12 ponchina          "Mahjong Pon Chin Kan (Japan set 2)"
12 tndrcade          "Thundercade / Twin Formation"
12 tndrcadej         "Tokusyu Butai U.A.G. (Japan)"
12 twineagl          "Twin Eagle - Revenge Joe's Brother"
12 downtown          "DownTown / Mokugeki (set 1)"
12 downtown2         "DownTown / Mokugeki (set 2)"
12 downtownj         "DownTown / Mokugeki (joystick hack)"
12 downtownp         "DownTown / Mokugeki (prototype)"
12 usclssic          "U.S. Classic"
12 calibr50          "Caliber 50"
12 arbalest          "Arbalester"
12 metafox           "Meta Fox"
12 setaroul          "Seta / Visco Roulette?"
12 drgnunit          "Dragon Unit / Castle of Dragon"
12 wits              "Wit's (Japan)"
12 thunderl          "Thunder & Lightning"
12 thunderlbl        "Thunder & Lightning (bootleg with Tetris sound)"
12 wiggie            "Wiggie Waggie"
12 superbar          "Super Bar"
12 jockeyc           "Jockey Club"
12 rezon             "Rezon"
12 rezont            "Rezon (Taito)"
12 stg               "Strike Gunner S.T.G"
12 pairlove          "Pairs Love"
12 blandia           "Blandia"
12 blandiap          "Blandia (prototype)"
12 blockcar          "Block Carnival / Thunder & Lightning 2"
12 qzkklogy          "Quiz Kokology"
12 neobattl          "SD Gundam Neo Battling (Japan)"
12 umanclub          "Ultraman Club - Tatakae! Ultraman Kyoudai!!"
12 zingzip           "Zing Zing Zip"
12 zingzipbl         "Zing Zing Zip (bootleg)"
12 atehate           "Athena no Hatena ?"
12 jjsquawk          "J. J. Squawkers"
12 jjsquawkb         "J. J. Squawkers (bootleg)"
12 kamenrid          "Masked Riders Club Battle Race"
12 madshark          "Mad Shark"
12 msgundam          "Mobile Suit Gundam"
12 msgundam1         "Mobile Suit Gundam (Japan)"
12 daioh             "Daioh"
12 oisipuzl          "Oishii Puzzle Ha Irimasenka"
12 triplfun          "Triple Fun"
12 utoukond          "Ultra Toukon Densetsu (Japan)"
12 qzkklgy2          "Quiz Kokology 2"
12 wrofaero          "War of Aero - Project MEIOU"
12 eightfrc          "Eight Forces"
12 kiwame            "Pro Mahjong Kiwame"
12 krzybowl          "Krazy Bowl"
12 orbs              "Orbs (10/7/94 prototype?)"
12 keroppi           "Kero Kero Keroppi no Issyoni Asobou (Japan)"
12 extdwnhl          "Extreme Downhill (v1.5)"
12 gundhara          "Gundhara"
12 sokonuke          "Sokonuke Taisen Game (Japan)"
12 zombraid          "Zombie Raid (US)"
12 crazyfgt          "Crazy Fight"
12 inttoote          "International Toote (Germany)"
12 inttootea         "International Toote II (World?)"
12 gundamex          "Mobile Suit Gundam EX Revue"
12 grdians           "Guardians / Denjin Makai II"
12 mj4simai          "Wakakusamonogatari Mahjong Yonshimai (Japan)"
12 myangel           "Kosodate Quiz My Angel (Japan)"
12 myangel2          "Kosodate Quiz My Angel 2 (Japan)"
12 pzlbowl           "Puzzle De Bowling (Japan)"
12 penbros           "Penguin Brothers (Japan)"
12 deerhunt          "Deer Hunting USA V4.3"
12 deerhunta         "Deer Hunting USA V4.2"
12 deerhuntb         "Deer Hunting USA V4.0"
12 deerhuntc         "Deer Hunting USA V2"
12 turkhunt          "Turkey Hunting USA V1.0"
12 wschamp           "Wing Shooting Championship V2.00"
12 wschampa          "Wing Shooting Championship V1.01"
12 funcube2          "Funcube 2 (v1.1)"
12 funcube4          "Funcube 4 (v1.0)"
12 trophyh           "Trophy Hunting - Bear & Moose V1.0"
12 reelquak          "Reel'N Quake! (Ver. 1.05)"
12 srmp4             "Super Real Mahjong PIV (Japan)"
12 srmp4o            "Super Real Mahjong PIV (Japan, older set)"
12 twineag2          "Twin Eagle II - The Rescue Mission"
12 srmp7             "Super Real Mahjong P7 (Japan)"
12 dynagear          "Dyna Gear"
12 survarts          "Survival Arts (World)"
12 survartsu         "Survival Arts (USA)"
12 eaglshot          "Eagle Shot Golf"
12 hypreact          "Mahjong Hyper Reaction (Japan)"
12 meosism           "Meosis Magic (Japan)"
12 hypreac2          "Mahjong Hyper Reaction 2 (Japan)"
12 sxyreact          "Pachinko Sexy Reaction (Japan)"
12 sxyreac2          "Pachinko Sexy Reaction 2 (Japan)"
12 cairblad          "Change Air Blade (Japan)"
12 keithlcy          "Dramatic Adventure Quiz Keith & Lucy (Japan)"
12 drifto94          "Drift Out '94 - The Hard Order (Japan)"
12 janjans1          "Lovely Pop Mahjong JangJang Shimasho (Japan)"
12 stmblade          "Storm Blade (US)"
12 jsk               "Joryuu Syougi Kyoushitsu (Japan)"
12 koikois2          "Koi Koi Shimasho 2 - Super Real Hanafuda (Japan)"
12 mslider           "Monster Slider (Japan)"
12 ryorioh           "Gourmet Battle Quiz Ryohrioh CooKing (Japan)"
12 janjans2          "Lovely Pop Mahjong JangJang Shimasho 2 (Japan)"
12 vasara            "Vasara"
12 vasara2           "Vasara 2 (set 1)"
12 vasara2a          "Vasara 2 (set 2)"
12 ultrax            "Ultra X Weapons / Ultra Keibitai"
12 gdfs              "Mobil Suit Gundam Final Shooting (Japan)"
12 jclub2            "Jockey Club II (newer hardware)"
12 jclub2o           "Jockey Club II (older hardware)"
12 darkhors          "Dark Horse (bootleg of Jockey Club II)"
12 renju             "Renju Kizoku"
12 koikois           "Koi Koi Shimasho"
12 nratechu          "Neratte Chu"
12 dcrown            "Dream Crown"
12 srmp5             "Super Real Mahjong P5"
12 speglsht          "Super Eagle Shot"
12 mayjinsn          "Mayjinsen"
12 mayjisn2          "Mayjinsen 2"
12 srmp6             "Super Real Mahjong P6 (Japan)"
12 aleck64           "Aleck64 PIF BIOS"
12 11beat            "Eleven Beat"
12 mtetrisc          "Magical Tetris Challenge (981009 Japan)"
12 starsldr          "Star Soldier: Vanishing Earth"
12 vivdolls          "Vivid Dolls"
12 srmvs             "Super Real Mahjong VS"
12 twrshaft          "Tower & Shaft"
12 hipai             "Hi Pai Paradise"
12 doncdoon          "Donchan no Hanabi de Doon"
12 kurufev           "Kurukuru Fever"
12 mayjin3           "Mayjinsen 3"
12 powerins          "Power Instinct (USA)"
12 powerinsj         "Gouketsuji Ichizoku (Japan)"
12 powerinsa         "Power Instinct (USA, bootleg set 1)"
12 powerinsb         "Power Instinct (USA, bootleg set 2)"
12 ohmygod           "Oh My God! (Japan)"
12 naname            "Naname de Magic! (Japan)"
12 blmbycar          "Blomby Car"
12 blmbycaru         "Blomby Car (not encrypted)"
12 watrball          "Water Balls"
12 dai3wksi          "Dai San Wakusei Meteor (Japan)"
12 speakres          "Speak & Rescue"
12 speakresb         "Speak & Rescue (bootleg)"
12 stratvox          "Stratovox"
12 stratvoxb         "Stratovox (bootleg)"
12 spacecho          "Space Echo (set 1)"
12 spacecho2         "Space Echo (set 2)"
12 route16           "Route 16 (set 1)"
12 route16a          "Route 16 (set 2)"
12 route16b          "Route 16 (bootleg)"
12 routex            "Route X (bootleg)"
12 ttmahjng          "T.T Mahjong"
12 fnkyfish          "Funky Fish"
12 kangaroo          "Kangaroo"
12 kangarooa         "Kangaroo (Atari)"
12 kangaroob         "Kangaroo (bootleg)"
12 arabian           "Arabian"
12 arabiana          "Arabian (Atari)"
12 markham           "Markham"
12 strnskil          "Strength & Skill"
12 guiness           "The Guiness (Japan)"
12 pettanp           "Pettan Pyuu (Japan)"
12 banbam            "BanBam"
12 ikki              "Ikki (Japan)"
12 farmer            "Farmers Rebellion"
12 shanghai          "Shanghai (Japan)"
12 shangha2          "Shanghai II (Japan)"
12 kothello          "Kyuukyoku no Othello"
12 shangha3          "Shanghai III (Japan)"
12 heberpop          "Hebereke no Popoon (Japan)"
12 blocken           "Blocken (Japan)"
12 goindol           "Goindol (World)"
12 goindolu          "Goindol (US)"
12 goindolk          "Goindol (Korea)"
12 rranger           "Rough Ranger (v2.0, unprotected, bootleg?)"
12 sranger           "Super Ranger (v2.0)"
12 srangerb          "Super Ranger (bootleg)"
12 srangerw          "Super Ranger (WDK)"
12 hardhead          "Hard Head"
12 hardheadb         "Hard Head (bootleg)"
12 pop_hh            "Popper (Hard Head bootleg)"
12 sparkman          "Spark Man (v 2.0, set 1)"
12 sparkmana         "Spark Man (v 2.0, set 2)"
12 starfigh          "Star Fighter (v1)"
12 hardhea2          "Hard Head 2 (v2.0)"
12 brickzn           "Brick Zone (v5.0)"
12 brickzn3          "Brick Zone (v4.0)"
12 bestbest          "Best Of Best"
12 sunaq             "SunA Quiz 6000 Academy (940620-6)"
12 bssoccer          "Back Street Soccer"
12 uballoon          "Ultra Balloon"
12 gundealr          "Gun Dealer"
12 gundealra         "Gun Dealer (alt card set)"
12 gundealrt         "Gun Dealer (Korea)"
12 yamyam            "Yam! Yam!?"
12 wiseguy           "Wise Guy"
12 lastday           "The Last Day (set 1)"
12 lastdaya          "The Last Day (set 2)"
12 gulfstrm          "Gulf Storm"
12 gulfstrmm         "Gulf Storm (Media Shoji)"
12 pollux            "Pollux (set 1)"
12 polluxa           "Pollux (set 2)"
12 polluxa2          "Pollux (set 3)"
12 flytiger          "Flying Tiger"
12 bluehawk          "Blue Hawk"
12 bluehawkn         "Blue Hawk (NTC)"
12 sadari            "Sadari"
12 gundl94           "Gun Dealer '94"
12 primella          "Primella"
12 superx            "Super-X (NTC)"
12 superxm           "Super-X (Mitchell)"
12 rshark            "R-Shark"
12 popbingo          "Pop Bingo"
12 leprechn          "Leprechaun"
12 potogold          "Pot of Gold"
12 leprechp          "Leprechaun (Pacific)"
12 piratetr          "Pirate Treasure"
12 beezer            "Beezer (set 1)"
12 beezer1           "Beezer (set 2)"
12 pushman           "Pushman (Korea, set 1)"
12 pushmana          "Pushman (Korea, set 2)"
12 pushmans          "Pushman (American Sammy license)"
12 pushmant          "Pushman (Top Tronic license)"
12 bballs            "Bouncing Balls"
12 zerozone          "Zero Zone"
12 lvgirl94          "Las Vegas Girl (Girl '94)"
12 hotpinbl          "Hot Pinball"
12 galspnbl          "Gals Pinball"
